timestamp,mid_price,best_bid,best_ask,bids,asks,curr_delta,max_delta,min_delta,bid_vpoc,ask_vpoc,trades,trades_vol
1727788100.4743466,2618.5299999999997,2618.39,2618.67,500,500,"(-1.0, 1727788081.402473)","(-1.0, 1727788081.402473)","(-1.0, 1727788081.402473)","(2551.0, 311.0)","(2682.0, 228.186)",1,0.06913507
1727788131.0536623,2617.71,2617.66,2617.76,500,500,"(-1.0, 1727788126.723162)","(-1.0, 1727788126.723162)","(-1.0, 1727788126.723162)","(2551.0, 311.0)","(2681.8, 228.186)",1,0.83257941
1727788161.7675288,2617.585,2617.57,2617.6,500,500,0,0,0,"(2551.0, 311.0)","(2681.8, 228.186)",0,0.0
1727788192.3332667,2617.585,2617.57,2617.6,500,500,0,0,0,"(2551.0, 311.0)","(2681.8, 228.186)",0,0.0
1727788222.786432,2617.5950000000003,2617.59,2617.6,500,500,"(1.0, 1727788222.167473)","(1.0, 1727788222.167473)","(1.0, 1727788222.167473)","(2551.0, 311.0)","(2681.8, 228.186)",1,2.02846945
1727788253.190687,2621.205,2621.04,2621.37,500,500,0,0,0,"(2568.0, 228.517)","(2681.8, 228.186)",0,0.0
1727788283.6069596,2620.25,2620.13,2620.37,500,500,0,0,0,"(2551.0, 311.0)","(2681.8, 228.186)",0,0.0
1727788314.1830685,2619.525,2619.27,2619.78,500,500,0,0,0,"(2551.0, 311.0)","(2681.8, 228.186)",0,0.0
1727788344.6349783,2619.48,2619.28,2619.68,500,500,0,0,0,"(2551.0, 311.0)","(2681.8, 228.186)",0,0.0
1727788375.0647318,2618.59,2618.43,2618.75,500,500,0,0,0,"(2551.0, 311.0)","(2681.8, 228.186)",0,0.0
1727788405.564084,2618.605,2618.46,2618.75,500,500,0,0,0,"(2551.0, 311.0)","(2681.8, 228.186)",0,0.0
1727788436.0958557,2618.1850000000004,2618.01,2618.36,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 251.668)",0,0.0
1727788466.6580584,2617.52,2617.34,2617.7,500,500,"(0.03553815246890935, 1727788453.239223)","(0.5177690762344547, 1727788443.876852)","(0.03553815246890935, 1727788453.239223)","(2551.0, 311.0)","(2750.0, 246.668)",4,0.66001574
1727788497.109838,2617.71,2617.46,2617.96,500,500,0,0,0,"(2551.0, 311.0)","(2680.8, 228.192)",0,0.0
1727788527.5709517,2618.605,2618.5,2618.71,500,500,0,0,0,"(2551.0, 311.0)","(2643.6000000000004, 219.745)",0,0.0
1727788558.0188463,2617.235,2617.13,2617.34,500,500,"(1.0, 1727788529.940321)","(1.0, 1727788529.940321)","(0.38975037883541946, 1727788529.940321)","(2551.0, 311.0)","(2750.0, 246.668)",2,1.28287239
1727788588.4477398,2616.385,2616.38,2616.39,500,500,0,0,0,"(2551.0, 311.0)","(2680.0, 228.302)",0,0.0
1727788618.8823285,2615.635,2615.63,2615.64,500,500,0,0,0,"(2551.0, 311.0)","(2750.0, 246.668)",0,0.0
1727788649.439764,2615.855,2615.85,2615.86,500,500,"(-1.0, 1727788630.850895)","(-1.0, 1727788630.850895)","(-1.0, 1727788630.850895)","(2551.0, 311.0)","(2750.0, 246.668)",1,0.00383566
