timestamp,mid_price,best_bid,best_ask,bids,asks,curr_delta,max_delta,min_delta,bid_vpoc,ask_vpoc,trades,trades_vol
1727717045.4320395,2604.995,2604.99,2605.0,500,500,0,0,0,"(2497.0, 1000.0)","(2630.6000000000004, 213.513)",0,0.0
1727717076.1255364,2604.995,2604.99,2605.0,500,500,"(1.0, 1727717073.032293)","(1.0, 1727717073.032293)","(1.0, 1727717073.032293)","(2497.0, 1000.0)","(2631.6000000000004, 401.905)",1,0.00378204
1727717199.2273984,2603.8050000000003,2603.8,2603.81,500,500,"(-1.0, 1727717183.908372)","(-0.00260808630104223, 1727717172.04978)","(-1.0, 1727717183.908372)","(2497.0, 1000.0)","(2604.0, 311.056)",5,2.6679983700000003
1727717229.8430886,2603.8050000000003,2603.8,2603.81,500,500,"(0.14120102917223568, 1727717220.255743)","(0.14120102917223568, 1727717220.255743)","(-0.4293994854138821, 1727717204.225714)","(2497.0, 1000.0)","(2604.0, 221.245)",3,0.69036841
1727717260.376905,2603.8050000000003,2603.8,2603.81,500,500,0,0,0,"(2497.0, 1000.0)","(2603.8, 422.548)",0,0.0
1727717291.0764234,2603.8050000000003,2603.8,2603.81,500,500,"(-0.3758612031218291, 1727717279.74634)","(-0.3758612031218291, 1727717279.74634)","(-0.6879306015609146, 1727717276.304455)","(2497.0, 1000.0)","(2603.8, 462.35900000000004)",2,0.290727
1727717321.7386837,2601.375,2601.37,2601.38,500,500,"(1.0, 1727717307.185511)","(1.0, 1727717307.185511)","(0.00393396048485679, 1727717301.34516)","(2497.0, 1000.0)","(2601.4, 333.316)",2,0.94361141
1727717352.4310331,2600.745,2600.74,2600.75,500,500,"(0.23670645602008916, 1727717350.16536)","(0.23670645602008916, 1727717350.16536)","(-0.37303748766022765, 1727717339.007205)","(2497.0, 1000.0)","(2626.8, 220.981)",6,1.03217058
1727717383.0340447,2599.295,2599.29,2599.3,500,500,"(-0.022801215445578442, 1727717378.724996)","(0.4885993922772108, 1727717370.831327)","(-0.022801215445578442, 1727717378.724996)","(2497.0, 1000.0)","(2599.4, 222.31900000000002)",3,0.38498474
1727717413.6588027,2598.625,2598.62,2598.63,500,500,"(-1.0, 1727717397.231812)","(-1.0, 1727717397.231812)","(-1.0, 1727717397.231812)","(2497.0, 1000.0)","(2598.6000000000004, 288.467)",1,0.03938437
1727717444.2876773,2598.625,2598.62,2598.63,500,500,"(-0.9737526664295456, 1727717433.968453)","(0.004374563287318873, 1727717414.034291)","(-0.9737526664295456, 1727717433.968453)","(2497.0, 1000.0)","(2625.6000000000004, 213.574)",5,0.43333697
1727717474.794869,2598.425,2598.42,2598.43,500,500,0,0,0,"(2497.0, 1000.0)","(2600.0, 225.418)",0,0.0
1727717505.3717003,2594.045,2594.04,2594.05,500,500,"(-1.0, 1727717494.110353)","(-0.012823887311372639, 1727717494.110353)","(-1.0, 1727717494.110353)","(2497.0, 1000.0)","(2616.2000000000003, 303.21)",2,0.15595895
1727717535.9074707,2594.785,2594.78,2594.79,500,500,"(-1.0, 1727717534.122553)","(-0.2189374509386259, 1727717514.617278)","(-1.0, 1727717534.122553)","(2497.0, 1000.0)","(2616.2000000000003, 307.722)",3,0.30693697999999997
1727717566.6452878,2594.785,2594.78,2594.79,500,500,0,0,0,"(2497.0, 1000.0)","(2594.8, 410.818)",0,0.0
1727717597.5118752,2593.205,2593.2,2593.21,500,500,"(-0.9926925774409203, 1727717588.042809)","(-0.6162850495022328, 1727717569.93578)","(-0.99634628872046, 1727717575.048217)","(2497.0, 1000.0)","(2593.2000000000003, 263.033)",8,2.14186601
1727717628.2831254,2593.205,2593.2,2593.21,500,500,"(-1.0, 1727717615.478445)","(-0.007917694999999999, 1727717615.478445)","(-1.0, 1727717615.478445)","(2497.0, 1000.0)","(2618.8, 215.942)",2,10.0
1727717659.277178,2593.205,2593.2,2593.21,500,500,0,0,0,"(2497.0, 1000.0)","(2595.6000000000004, 196.85399999999998)",0,0.0
1727717689.94908,2594.825,2594.82,2594.83,500,500,"(-0.5116279069767444, 1727717688.86858)","(-0.5116279069767444, 1727717688.86858)","(-0.7558139534883721, 1727717669.545772)","(2497.0, 1000.0)","(2619.8, 213.661)",12,0.86
1727717720.5803392,2596.795,2596.79,2596.8,500,500,"(1.0, 1727717713.808585)","(1.0, 1727717713.808585)","(0.002204211867342358, 1727717693.032372)","(2497.0, 1000.0)","(2596.8, 336.204)",4,4.305044420000001
1727717751.162851,2595.665,2595.66,2595.67,500,500,"(-0.020404296463719204, 1727717742.697235)","(-0.020404296463719204, 1727717742.697235)","(-0.5102021482318596, 1727717741.53453)","(2497.0, 1000.0)","(2622.0, 213.925)",12,0.11136135
1727717781.8465552,2597.225,2597.22,2597.23,500,500,"(-1.0, 1727717775.84845)","(-0.25818239593263426, 1727717770.393319)","(-1.0, 1727717775.84845)","(2497.0, 1000.0)","(2622.8, 212.186)",2,2.5176
1727717812.4982705,2597.225,2597.22,2597.23,500,500,"(-0.9387915314799143, 1727717805.702032)","(-0.327742947505092, 1727717796.628435)","(-0.9387915314799143, 1727717805.702032)","(2497.0, 1000.0)","(2623.2000000000003, 212.639)",3,0.12395507
