{'timestamp': 1727788194.8109763, 'mid_price': 2618.435, 'best_bid': 2618.43, 'best_ask': 2618.44, 'bids': 500, 'asks': 500, 'curr_delta': (0.5938334162400677, 1727788193.256114), 'max_delta': (0.6836533468156941, 1727788191.261858), 'min_delta': (-0.11326336130433978, 1727788189.941538), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 5, 'trades_vol': 0.41972866999999997}
{'timestamp': 1727788225.321592, 'mid_price': 2618.435, 'best_bid': 2618.43, 'best_ask': 2618.44, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788199.150144), 'max_delta': (-0.6769248453769545, 1727788197.592191), 'min_delta': (-1.0, 1727788199.150144), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 2, 'trades_vol': 0.05637258}
{'timestamp': 1727788255.9012003, 'mid_price': 2620.375, 'best_bid': 2620.37, 'best_ask': 2620.38, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727788243.002242), 'max_delta': (1.0, 1727788243.002242), 'min_delta': (0.9860137888112284, 1727788240.675522), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2680.0, 415.69500000000005), 'trades': 2, 'trades_vol': 0.65921999}
{'timestamp': 1727788286.4223666, 'mid_price': 2620.375, 'best_bid': 2620.37, 'best_ask': 2620.38, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788274.827034), 'max_delta': (-0.20973440017485825, 1727788266.265758), 'min_delta': (-1.0, 1727788274.827034), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 4, 'trades_vol': 20.11448764}
{'timestamp': 1727788316.8839507, 'mid_price': 2620.375, 'best_bid': 2620.37, 'best_ask': 2620.38, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788288.036343), 'max_delta': (-0.877989045, 1727788288.036343), 'min_delta': (-1.0, 1727788288.036343), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2620.4, 528.061), 'trades': 2, 'trades_vol': 8.0}
{'timestamp': 1727788347.3876758, 'mid_price': 2620.375, 'best_bid': 2620.37, 'best_ask': 2620.38, 'bids': 500, 'asks': 500, 'curr_delta': 0, 'max_delta': 0, 'min_delta': 0, 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2620.4, 452.245), 'trades': 0, 'trades_vol': 0.0}
{'timestamp': 1727788377.8230338, 'mid_price': 2620.315, 'best_bid': 2620.31, 'best_ask': 2620.32, 'bids': 500, 'asks': 500, 'curr_delta': (-0.5991252454713608, 1727788371.680446), 'max_delta': (-0.5991252454713608, 1727788371.680446), 'min_delta': (-0.7995626227356804, 1727788366.132577), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2620.4, 681.051), 'trades': 4, 'trades_vol': 0.34923625999999997}
{'timestamp': 1727788408.284111, 'mid_price': 2620.315, 'best_bid': 2620.31, 'best_ask': 2620.32, 'bids': 500, 'asks': 500, 'curr_delta': 0, 'max_delta': 0, 'min_delta': 0, 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2620.4, 682.073), 'trades': 0, 'trades_vol': 0.0}
{'timestamp': 1727788438.7283702, 'mid_price': 2620.315, 'best_bid': 2620.31, 'best_ask': 2620.32, 'bids': 500, 'asks': 500, 'curr_delta': (1.0, 1727788419.738799), 'max_delta': (1.0, 1727788419.738799), 'min_delta': (1.0, 1727788419.738799), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2620.4, 694.196), 'trades': 1, 'trades_vol': 0.00309122}
{'timestamp': 1727788469.1791172, 'mid_price': 2618.435, 'best_bid': 2618.43, 'best_ask': 2618.44, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788462.759024), 'max_delta': (-0.32294818052433877, 1727788441.434791), 'min_delta': (-1.0, 1727788462.759024), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 6, 'trades_vol': 1.28581}
{'timestamp': 1727788499.619544, 'mid_price': 2618.4049999999997, 'best_bid': 2618.4, 'best_ask': 2618.41, 'bids': 500, 'asks': 500, 'curr_delta': (0.9625834087255827, 1727788498.133875), 'max_delta': (0.9625834087255827, 1727788498.133875), 'min_delta': (0.6606554411639924, 1727788481.316601), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 4, 'trades_vol': 1.39985654}
{'timestamp': 1727788530.1792884, 'mid_price': 2618.245, 'best_bid': 2618.24, 'best_ask': 2618.25, 'bids': 500, 'asks': 500, 'curr_delta': (-0.8169140163408289, 1727788518.368479), 'max_delta': (0.09154299182958556, 1727788507.198709), 'min_delta': (-0.8169140163408289, 1727788518.368479), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 4, 'trades_vol': 0.18951915}
{'timestamp': 1727788560.6120617, 'mid_price': 2617.365, 'best_bid': 2617.36, 'best_ask': 2617.37, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788554.302457), 'max_delta': (-0.0019311509547599544, 1727788554.302457), 'min_delta': (-1.0, 1727788554.302457), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 12, 'trades_vol': 34.147309840000005}
{'timestamp': 1727788591.0469975, 'mid_price': 2616.295, 'best_bid': 2616.29, 'best_ask': 2616.3, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788590.724096), 'max_delta': (-0.1153898687882618, 1727788585.216633), 'min_delta': (-1.0, 1727788590.724096), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 6, 'trades_vol': 3.8417584200000006}
{'timestamp': 1727788621.4843051, 'mid_price': 2615.4049999999997, 'best_bid': 2615.4, 'best_ask': 2615.41, 'bids': 500, 'asks': 500, 'curr_delta': (-0.4139076456939604, 1727788609.371671), 'max_delta': (0.2930461771530197, 1727788596.446174), 'min_delta': (-0.4139076456939604, 1727788609.371671), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 4, 'trades_vol': 0.12853261000000002}
{'timestamp': 1727788651.8964994, 'mid_price': 2615.135, 'best_bid': 2615.13, 'best_ask': 2615.14, 'bids': 500, 'asks': 500, 'curr_delta': (-1.0, 1727788646.491082), 'max_delta': (-0.003373876077531672, 1727788628.184582), 'min_delta': (-1.0, 1727788646.491082), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 4, 'trades_vol': 0.59279}
{'timestamp': 1727788682.4383173, 'mid_price': 2615.075, 'best_bid': 2615.07, 'best_ask': 2615.08, 'bids': 500, 'asks': 500, 'curr_delta': (-0.912683973409394, 1727788678.133067), 'max_delta': (-0.023771887480801796, 1727788662.08643), 'min_delta': (-0.912683973409394, 1727788678.133067), 'bid_vpoc': (2568.0, 1388.025), 'ask_vpoc': (2660.2000000000003, 412.805), 'trades': 5, 'trades_vol': 0.43147268}
